id;name;light;number;address;activate;no_available;total_bases;dock_bikes;free_bases;reservations_count;geometry;datetime
167;Castellana 42;0;142;Paseo de la Castellana nº 42;1;0;24;5;17;0;{'type': 'Point', 'coordinates': [-3.6879154, 40.4334087]};2020-12-08T20:15:09.899130
166;Diego de León 52;1;143;Calle Diego de León nº 52;1;0;24;14;6;0;{'type': 'Point', 'coordinates': [-3.678492, 40.4345973]};2020-12-08T20:15:09.899130
170;Juan Bravo 50;0;144;Calle Juan Bravo nº 50;1;0;24;6;17;0;{'type': 'Point', 'coordinates': [-3.6758555, 40.4323655]};2020-12-08T20:15:09.899130
171;Ortega y Gasset 87;0;145;Calle Ortega y Gasset nº 87;1;0;24;4;19;0;{'type': 'Point', 'coordinates': [-3.6712823, 40.429887]};2020-12-08T20:15:09.899130
155;María Francisca 1;0;146;Calle María Francisca nº 1;1;0;18;4;12;0;{'type': 'Point', 'coordinates': [-3.6787169, 40.4442258]};2020-12-08T20:15:09.899130
148;Doctor Arce 45;0;147;Avenida del Doctor Arce nº 45;1;0;24;3;18;0;{'type': 'Point', 'coordinates': [-3.6797296, 40.4483269]};2020-12-08T20:15:09.899130
144;Serrano 210;0;148;Calle Serrano nº 210;1;0;24;6;18;0;{'type': 'Point', 'coordinates': [-3.6817962, 40.4510188]};2020-12-08T20:15:09.899130
146;Paseo de la Habana 42;1;149;Paseo de la Habana nº 42;1;0;24;17;6;0;{'type': 'Point', 'coordinates': [-3.6881689, 40.4498613]};2020-12-08T20:15:09.899130
147;Castellana frente a Hermanos Pinzón;2;150;Paseo de la Castellana nº 124;1;0;24;10;14;0;{'type': 'Point', 'coordinates': [-3.6905604, 40.4488924]};2020-12-08T20:15:09.899130
145;Orense 12;1;151;Calle Orense nº 12;1;0;24;19;4;0;{'type': 'Point', 'coordinates': [-3.6952943, 40.4489101]};2020-12-08T20:15:09.899130
142;General Perón 1;2;152;Avenida del General Perón nº 1-4;1;0;24;9;15;0;{'type': 'Point', 'coordinates': [-3.6990077, 40.4527164]};2020-12-08T20:15:09.899130
143;General Perón con Poeta Joan Maragall;0;153;Avenida del General Perón nº 36;1;0;24;6;18;0;{'type': 'Point', 'coordinates': [-3.693085, 40.4522454]};2020-12-08T20:15:09.899130
141;Orense 36;2;154;Calle Orense nº 36;1;0;24;13;10;0;{'type': 'Point', 'coordinates': [-3.6946218, 40.4548456]};2020-12-08T20:15:09.899130
